headline,actual_label,predicted_label,trusted_source_link
WATCH: Kellyanne Conway Very Upset Hillary Clinton Is Not Doing Trump’s Job,FAKE,REAL,https://www.washingtonpost.com/news/morning-mix/wp/2018/01/11/kellyanne-conway-nobody-here-talks-about-hillary-clinton/
Exclusive: Trump targets illegal immigrants who were given reprieves from deportation by Obama,REAL,REAL,https://www.voanews.com/a/trump-targets-immigrants-deportation-reprieves-from-obama/3894364.html
ABOUT HILLARY’S COUGH: We Discovered The Secret To Why She Keeps Coughing [Video],FAKE,REAL,https://www.facebook.com/cnn/videos/hillary-jokes-that-she-is-allergic-to-trump/10155265954641509/
Europe rights watchdog says Turkey's emergency laws go too far,REAL,REAL,https://www.reuters.com/article/world/europe-rights-watchdog-says-turkeys-emergency-laws-go-too-far-idUSKBN1CB2AW/
‘SLEEPY’ JUSTICE GINSBURG: Excites Crowd By Saying She’d Back Abolition Of The Electoral College [Video],FAKE,REAL,https://www.youtube.com/watch?v=gF4rOQOvWJs
"At G20 summit, Trump pledges $639 million in aid to four countries",REAL,REAL,https://www.worldhunger.org/g20-summit-trump-pledges-639-million-aid-four-countries/
"GOP Gives Trump The Middle Finger, Prepares To Launch Probe Into Russia",FAKE,REAL,https://www.politico.com/news/trump-russia-scandal/27
Young blacks more open to Bernie Sanders' White House bid,REAL,REAL,https://www.reuters.com/article/world/us/young-blacks-more-open-to-bernie-sanders-white-house-bid-idUSMTZSAPEC2CG4WN3T/
Ex-Christie associates lose bid for new trial in 'Bridgegate' case,REAL,REAL,https://www.reuters.com/article/world/us/ex-christie-associates-lose-bid-for-new-trial-in-bridgegate-case-idUSKBN1692XB/
BREAKING: OBAMACARE REPEAL Clears First Hurdle…Dems Get Snarky,FAKE,REAL,https://www.localsyr.com/news/local-news/gop-healthcare-plan-clears-first-hurdle/
